request_id,device_id,primary_port,vlan_id
99,3,1,29
100,4,1,29
101,4,0,29
101,4,1,29
102,1,0,30
102,1,1,30
103,0,0,30
103,0,1,30
104,2,1,30
105,3,1,30
106,2,1,31
107,3,1,31
108,2,0,31
108,2,1,31
109,4,1,31
110,1,1,32
111,1,0,32
111,1,1,32
112,2,1,32
113,4,1,32
114,0,1,32
115,1,1,33
116,1,0,33
116,1,1,33
117,4,0,33
117,4,1,33
118,3,1,33
119,0,1,33
120,1,1,34
121,2,1,34
122,0,1,34
123,4,1,34
124,1,1,35
125,2,1,35
126,3,1,35
127,1,0,35
127,1,1,35
128,4,1,35
129,0,1,35
130,2,0,35
130,2,1,35
131,4,0,35
131,4,1,35
132,2,1,36
133,3,1,36
134,0,1,36
135,3,1,37
136,0,1,37
137,0,0,37
137,0,1,37
138,2,1,38
139,4,1,38
140,0,1,38
141,1,1,39
142,3,1,39
143,4,0,39
143,4,1,39
144,0,0,39
144,0,1,39
145,2,0,40
145,2,1,40
146,3,1,40
147,2,0,41
147,2,1,41
148,0,1,41
149,4,1,41
150,4,0,41
150,4,1,41
151,0,0,41
151,0,1,41
152,0,1,42
153,2,0,42
153,2,1,42
154,4,0,42
154,4,1,42
155,1,0,43
155,1,1,43
156,0,0,43
156,0,1,43
157,3,1,43
158,4,1,43
159,4,0,43
159,4,1,43
160,0,1,44
161,1,1,44
162,2,1,44
163,2,0,44
163,2,1,44
164,3,1,44
165,4,1,44
166,0,0,44
166,0,1,44
167,0,1,45
168,2,1,45
169,2,0,45
169,2,1,45
170,3,1,45
171,4,1,45
172,4,0,45
172,4,1,45
173,1,0,46
173,1,1,46
174,0,1,46
175,3,1,46
176,4,1,46
177,0,0,46
177,0,1,46
178,1,1,47
179,1,0,47
179,1,1,47
180,0,0,47
180,0,1,47
181,2,0,47
181,2,1,47
182,3,1,47
183,4,0,47
183,4,1,47
184,4,1,48
185,4,0,48
185,4,1,48
186,1,0,49
186,1,1,49
187,2,0,49
187,2,1,49
188,0,1,49
189,0,0,50
189,0,1,50
190,1,0,50
190,1,1,50
191,2,0,50
191,2,1,50
192,0,0,51
192,0,1,51
193,1,1,51
194,1,0,51
194,1,1,51
195,4,1,51
196,4,0,51
196,4,1,51
197,2,0,52
197,2,1,52
198,0,0,52
198,0,1,52
199,3,1,52
200,4,1,52
201,4,0,52
201,4,1,52
202,1,1,53
203,1,0,53
203,1,1,53
204,2,1,53
205,0,0,53
205,0,1,53
206,3,1,53
207,4,1,53
208,1,0,54
208,1,1,54
209,0,0,55
209,0,1,55
210,1,1,55
211,2,1,55
212,0,1,56
213,1,0,56
213,1,1,56
214,0,0,56
214,0,1,56
215,3,1,56
216,1,1,57
217,2,1,57
218,0,1,57
219,1,0,57
219,1,1,57
220,2,0,57
220,2,1,57
221,3,1,57
222,1,0,58
222,1,1,58
223,2,0,58
223,2,1,58
224,3,1,58
225,1,0,59
225,1,1,59
226,4,0,59
226,4,1,59
227,2,1,59
228,1,0,60
228,1,1,60
229,3,1,60
230,4,1,60
231,2,0,61
231,2,1,61
232,4,0,61
232,4,1,61
233,1,0,62
233,1,1,62
234,2,1,62
235,2,0,62
235,2,1,62
236,4,0,62
236,4,1,62
237,3,1,62
238,0,0,62
238,0,1,62
239,0,0,63
239,0,1,63
240,1,1,63
241,2,1,63
242,3,1,63
243,4,1,63
244,1,0,63
244,1,1,63
245,1,1,64
246,1,0,64
246,1,1,64
247,0,1,64
248,2,0,64
248,2,1,64
249,0,0,64
249,0,1,64
250,3,1,64
251,1,0,65
251,1,1,65
252,4,0,65
252,4,1,65
253,0,0,65
253,0,1,65
254,2,1,65
255,3,1,65
256,1,0,66
256,1,1,66
257,2,0,66
257,2,1,66
258,4,1,66
259,4,0,66
259,4,1,66
260,1,0,67
260,1,1,67
261,4,0,67
261,4,1,67
262,2,1,67
263,0,1,67
264,1,0,68
264,1,1,68
265,3,1,68
266,4,0,68
266,4,1,68
267,0,1,69
268,1,1,69
269,1,0,69
269,1,1,69
270,4,0,69
270,4,1,69
271,2,1,69
272,0,0,69
272,0,1,69
273,1,0,70
273,1,1,70
274,2,0,70
274,2,1,70
275,4,0,70
275,4,1,70
276,1,0,71
276,1,1,71
277,3,1,71
278,0,1,71
279,0,0,71
279,0,1,71
280,2,0,72
280,2,1,72
281,0,0,72
281,0,1,72
282,3,1,72
283,1,0,73
283,1,1,73
284,0,0,73
284,0,1,73
285,2,0,73
285,2,1,73
286,3,1,73
287,1,0,74
287,1,1,74
288,2,1,74
289,4,0,74
289,4,1,74
290,0,1,74
291,3,1,75
292,4,1,75
293,1,1,76
294,1,0,76
294,1,1,76
295,2,0,76
295,2,1,76
296,3,1,76
297,4,0,76
297,4,1,76
298,2,1,77
299,2,0,77
299,2,1,77
300,3,1,77
301,0,1,77
302,2,1,78
303,3,1,78
304,4,1,78
305,2,0,78
305,2,1,78
306,0,1,79
307,1,1,79
308,2,1,79
309,4,0,79
309,4,1,79
310,3,1,79
311,0,1,80
312,1,1,80
313,1,0,80
313,1,1,80
314,2,0,80
314,2,1,80
315,3,1,80
316,0,0,80
316,0,1,80
317,3,1,81
318,4,1,81
319,0,1,81
320,4,0,81
320,4,1,81
321,2,1,82
322,0,0,82
322,0,1,82
323,2,0,82
323,2,1,82
324,4,1,82
325,0,1,83
326,2,1,83
327,2,0,83
327,2,1,83
328,2,1,84
329,0,0,84
329,0,1,84
330,4,1,84
331,2,0,84
331,2,1,84
332,2,1,85
333,0,0,85
333,0,1,85
334,2,0,85
334,2,1,85
335,3,1,85
336,1,0,86
336,1,1,86
337,2,1,86
338,0,1,86
339,0,0,86
339,0,1,86
340,2,0,86
340,2,1,86
341,1,1,87
342,1,0,87
342,1,1,87
343,0,1,87
344,2,0,87
344,2,1,87
345,4,0,88
345,4,1,88
346,2,1,88
347,0,0,88
347,0,1,88
348,3,1,88
349,1,1,89
350,2,1,89
351,0,1,89
352,3,1,89
353,4,1,89
354,4,0,89
354,4,1,89
355,1,1,90
356,2,1,90
357,3,1,90
358,0,1,91
359,1,1,91
360,1,0,92
360,1,1,92
361,2,0,92
361,2,1,92
362,4,0,92
362,4,1,92
363,0,1,92
364,2,0,93
364,2,1,93
365,0,1,93
366,0,0,93
366,0,1,93
367,4,1,93
368,1,1,94
369,2,1,94
370,4,1,94
371,2,1,95
372,0,0,95
372,0,1,95
373,4,1,95
374,1,1,96
375,1,0,96
375,1,1,96
376,2,0,96
376,2,1,96
377,3,1,96
378,4,0,97
378,4,1,97
379,0,0,98
379,0,1,98
380,2,1,98
381,2,0,98
381,2,1,98
382,0,0,99
382,0,1,99
383,1,0,99
383,1,1,99
384,2,1,99
385,4,1,99
386,2,1,100
387,3,1,100
388,4,1,100
389,1,1,101
390,2,1,101
391,1,0,101
391,1,1,101
392,0,0,101
392,0,1,101
393,2,0,102
393,2,1,102
394,1,1,102
395,0,1,102
396,0,0,102
396,0,1,102
397,1,1,103
398,1,0,103
398,1,1,103
399,0,0,103
399,0,1,103
400,4,0,103
400,4,1,103
401,2,1,103
402,1,1,104
403,0,0,104
403,0,1,104
404,3,1,104
405,2,0,105
405,2,1,105
406,3,1,105
407,4,1,105
408,1,1,106
409,2,1,106
410,3,1,106
411,4,1,106
412,1,1,107
413,2,1,107
414,1,0,107
414,1,1,107
415,3,1,107
416,1,0,108
416,1,1,108
417,2,1,108
418,2,0,108
418,2,1,108
419,4,0,108
419,4,1,108
420,3,1,108
421,1,0,109
421,1,1,109
422,2,1,109
423,4,0,109
423,4,1,109
424,0,0,109
424,0,1,109
425,2,1,110
426,0,1,110
427,3,1,110
428,4,1,110
429,4,0,110
429,4,1,110
430,1,1,111
431,2,1,111
432,0,1,111
433,3,1,111
434,4,1,111
435,2,0,111
435,2,1,111
436,0,0,111
436,0,1,111
437,1,1,112
438,0,1,112
439,2,1,112
440,3,1,112
441,1,0,112
441,1,1,112
442,2,0,112
442,2,1,112
443,0,0,112
443,0,1,112
444,4,1,112
445,4,0,112
445,4,1,112
446,0,1,113
447,1,1,113
448,4,0,113
448,4,1,113
449,2,1,113
450,0,0,113
450,0,1,113
451,1,0,114
451,1,1,114
452,2,1,114
453,3,1,114
454,0,1,114
455,2,0,114
455,2,1,114
456,0,0,115
456,0,1,115
457,2,0,116
457,2,1,116
458,0,0,116
458,0,1,116
459,4,0,116
459,4,1,116
460,1,0,117
460,1,1,117
461,2,0,117
461,2,1,117
462,4,1,117
463,0,1,118
464,1,1,118
465,2,1,118
466,3,1,118
467,2,0,118
467,2,1,118
468,1,0,119
468,1,1,119
469,2,0,119
469,2,1,119
470,0,1,119
471,4,1,119
472,1,1,120
473,2,1,120
474,1,0,120
474,1,1,120
475,2,0,120
475,2,1,120
476,1,0,121
476,1,1,121
477,2,1,121
478,0,1,121
479,4,1,122
480,0,0,122
480,0,1,122
481,4,0,122
481,4,1,122
482,1,1,123
483,2,0,123
483,2,1,123
484,4,0,123
484,4,1,123
485,3,1,123
486,2,0,124
486,2,1,124
487,4,0,125
487,4,1,125
488,0,1,125
489,0,0,125
489,0,1,125
490,1,1,126
491,1,0,127
491,1,1,127
492,2,1,127
493,0,1,127
494,2,0,127
494,2,1,127
495,3,1,127
496,4,1,127
497,1,1,128
498,2,1,128
499,4,1,128
500,0,1,128
501,1,0,128
501,1,1,128
502,1,1,130
503,2,1,130
504,1,0,130
504,1,1,130
505,2,0,130
505,2,1,130
506,4,0,130
506,4,1,130
507,3,1,130
508,2,0,131
508,2,1,131
509,4,0,131
509,4,1,131
510,0,1,131
511,1,1,132
512,2,1,132
513,3,1,132
514,4,1,132
515,1,1,133
516,2,1,133
517,3,1,133
518,1,0,133
518,1,1,133
519,4,1,133
520,2,0,133
520,2,1,133
521,1,1,134
522,0,0,134
522,0,1,134
523,1,0,134
523,1,1,134
524,2,1,134
525,2,0,134
525,2,1,134
526,3,1,134
527,4,0,134
527,4,1,134
528,1,1,135
529,0,0,135
529,0,1,135
530,2,1,135
531,2,0,135
531,2,1,135
532,3,1,135
533,0,0,136
533,0,1,136
534,1,1,136
535,1,0,136
535,1,1,136
536,2,0,136
536,2,1,136
537,3,1,136
538,4,1,136
539,1,1,137
540,1,0,137
540,1,1,137
541,2,1,137
542,0,0,137
542,0,1,137
543,2,0,137
543,2,1,137
544,1,0,138
544,1,1,138
545,2,1,138
546,0,0,138
546,0,1,138
547,2,0,138
547,2,1,138
548,4,1,138
549,1,1,139
550,4,1,139
551,0,1,139
552,1,0,139
552,1,1,139
553,1,1,140
554,0,0,140
554,0,1,140
555,1,0,140
555,1,1,140
556,2,1,140
557,3,1,140
558,4,0,140
558,4,1,140
559,1,1,141
560,3,1,141
561,1,0,142
561,1,1,142
562,2,1,142
563,0,0,142
563,0,1,142
564,2,0,142
564,2,1,142
565,4,1,142
566,4,0,142
566,4,1,142
567,1,0,143
567,1,1,143
568,2,1,143
569,4,1,143
570,1,1,144
571,2,1,144
572,1,0,144
572,1,1,144
573,3,1,144
574,4,1,144
575,1,1,145
576,1,0,145
576,1,1,145
577,2,1,145
578,0,0,145
578,0,1,145
579,1,1,146
580,2,1,146
581,2,0,146
581,2,1,146
582,0,0,146
582,0,1,146
583,1,0,147
583,1,1,147
584,0,0,147
584,0,1,147
585,4,1,147
586,1,0,148
586,1,1,148
587,4,0,148
587,4,1,148
588,0,1,148
589,1,1,149
590,2,1,149
591,4,1,149
592,1,1,150
593,2,1,150
594,0,1,150
595,1,0,150
595,1,1,150
596,0,0,150
596,0,1,150
597,3,1,150
598,2,0,150
598,2,1,150
599,4,0,150
599,4,1,150
600,1,1,151
601,2,0,151
601,2,1,151
602,0,0,151
602,0,1,151
603,3,1,151
604,1,1,152
605,1,0,152
605,1,1,152
606,4,0,152
606,4,1,152
607,1,0,154
607,1,1,154
608,0,0,154
608,0,1,154
609,4,0,154
609,4,1,154
610,3,1,154
611,0,0,155
611,0,1,155
612,1,1,155
613,2,1,155
614,1,0,155
614,1,1,155
615,4,1,155
616,2,0,155
616,2,1,155
617,1,1,156
618,2,1,156
619,3,1,156
620,2,0,156
620,2,1,156
621,4,1,156
622,4,0,156
622,4,1,156
623,1,0,157
623,1,1,157
624,4,0,157
624,4,1,157
625,3,1,157
626,4,0,158
626,4,1,158
627,0,0,158
627,0,1,158
628,3,1,158
629,1,1,159
630,2,1,159
631,3,1,159
632,1,0,159
632,1,1,159
633,4,1,159
634,1,1,160
635,1,0,160
635,1,1,160
636,0,1,160
637,2,0,160
637,2,1,160
638,4,0,160
638,4,1,160
639,1,0,162
639,1,1,162
640,0,0,162
640,0,1,162
641,2,1,162
642,2,0,162
642,2,1,162
643,3,1,162
644,4,1,162
645,4,0,163
645,4,1,163
646,1,0,164
646,1,1,164
647,2,1,164
648,0,0,164
648,0,1,164
649,3,1,164
650,4,1,164
651,1,1,165
652,1,0,165
652,1,1,165
653,2,1,165
654,4,0,165
654,4,1,165
655,3,1,165
656,0,0,165
656,0,1,165
657,1,1,166
658,3,1,166
659,0,1,166
660,1,0,166
660,1,1,166
661,4,0,166
661,4,1,166
662,1,1,167
663,1,0,167
663,1,1,167
664,2,1,167
665,0,1,167
666,4,1,167
667,1,1,168
668,0,0,168
668,0,1,168
669,2,1,168
670,2,0,168
670,2,1,168
671,4,0,168
671,4,1,168
672,1,0,169
672,1,1,169
673,0,0,169
673,0,1,169
674,2,0,169
674,2,1,169
675,4,1,169
676,4,0,169
676,4,1,169
677,1,1,170
678,1,0,170
678,1,1,170
679,3,1,170
680,1,1,171
681,2,1,171
682,0,0,171
682,0,1,171
683,2,0,171
683,2,1,171
684,1,0,172
684,1,1,172
685,0,1,172
686,0,0,172
686,0,1,172
687,2,0,174
687,2,1,174
688,0,0,174
688,0,1,174
689,4,0,175
689,4,1,175
690,2,1,175
691,3,1,175
692,0,0,175
692,0,1,175
693,1,0,176
693,1,1,176
694,2,0,176
694,2,1,176
695,0,0,176
695,0,1,176
696,1,0,177
696,1,1,177
697,2,1,177
698,2,0,177
698,2,1,177
699,0,1,177
700,4,1,177
701,1,1,178
702,1,0,178
702,1,1,178
703,2,1,178
704,3,1,178
705,2,0,178
705,2,1,178
706,4,0,178
706,4,1,178
707,1,1,179
708,2,0,180
708,2,1,180
709,1,1,180
710,4,0,180
710,4,1,180
711,4,0,181
711,4,1,181
712,1,0,182
712,1,1,182
713,0,1,182
714,0,0,182
714,0,1,182
715,4,0,182
715,4,1,182
716,2,1,182
717,3,1,182
718,1,0,183
718,1,1,183
719,0,0,183
719,0,1,183
720,2,1,183
721,4,0,183
721,4,1,183
722,3,1,183
723,1,1,184
724,2,1,184
725,1,0,184
725,1,1,184
726,2,0,184
726,2,1,184
727,0,0,184
727,0,1,184
728,1,0,185
728,1,1,185
729,4,0,185
729,4,1,185
730,1,0,186
730,1,1,186
731,2,0,186
731,2,1,186
732,3,1,186
733,0,0,186
733,0,1,186
734,4,1,186
735,1,1,187
736,4,0,187
736,4,1,187
737,2,1,187
738,1,0,188
738,1,1,188
739,2,0,188
739,2,1,188
740,1,0,189
740,1,1,189
741,2,0,189
741,2,1,189
742,1,0,190
742,1,1,190
743,3,1,190
744,0,0,190
744,0,1,190
745,0,0,191
745,0,1,191
746,1,1,191
747,1,0,191
747,1,1,191
748,4,0,192
748,4,1,192
749,1,1,192
750,0,0,192
750,0,1,192
751,2,0,193
751,2,1,193
752,0,1,193
753,0,0,193
753,0,1,193
754,1,0,194
754,1,1,194
755,4,0,194
755,4,1,194
756,0,0,194
756,0,1,194
757,2,0,195
757,2,1,195
758,3,1,195
759,0,0,196
759,0,1,196
760,1,0,196
760,1,1,196
761,4,0,196
761,4,1,196
762,1,0,197
762,1,1,197
763,2,0,197
763,2,1,197
764,3,1,197
765,0,0,197
765,0,1,197
766,4,1,197
767,1,1,198
768,1,0,198
768,1,1,198
769,2,0,198
769,2,1,198
770,3,1,198
771,4,1,198
772,0,0,198
772,0,1,198
773,4,0,198
773,4,1,198
774,1,1,199
775,3,1,199
776,4,1,199
777,0,1,199
778,1,0,199
778,1,1,199
779,1,1,200
780,0,1,200
781,1,0,200
781,1,1,200
782,2,1,200
783,0,0,200
783,0,1,200
784,4,1,200
785,2,0,200
785,2,1,200
786,4,0,200
786,4,1,200
787,4,0,201
787,4,1,201
788,1,1,201
789,0,0,202
789,0,1,202
790,1,1,202
791,2,1,202
792,1,0,202
792,1,1,202
793,3,1,202
794,4,1,202
795,1,0,203
795,1,1,203
796,0,1,203
797,2,1,203
798,4,0,203
798,4,1,203
799,3,1,203
800,1,0,204
800,1,1,204
801,2,1,204
802,4,0,204
802,4,1,204
803,0,1,204
804,0,0,205
804,0,1,205
805,4,0,205
805,4,1,205
806,2,1,205
807,2,0,206
807,2,1,206
808,4,0,206
808,4,1,206
809,1,0,207
809,1,1,207
810,2,1,207
811,3,1,207
812,1,0,208
812,1,1,208
813,4,0,208
813,4,1,208
814,0,0,208
814,0,1,208
815,2,0,209
815,2,1,209
816,4,1,209
817,4,0,209
817,4,1,209
818,0,1,209
819,1,1,210
820,2,1,210
821,3,1,210
822,1,0,210
822,1,1,210
823,4,1,210
824,2,0,210
824,2,1,210
825,0,1,210
826,0,0,210
826,0,1,210
827,1,0,211
827,1,1,211
828,2,0,211
828,2,1,211
829,3,1,211
830,4,1,211
831,1,1,212
832,1,0,212
832,1,1,212
833,2,0,212
833,2,1,212
834,0,1,212
835,0,0,212
835,0,1,212
836,3,1,212
837,0,0,213
837,0,1,213
838,2,0,214
838,2,1,214
839,1,0,215
839,1,1,215
840,2,1,215
841,0,0,215
841,0,1,215
842,4,0,215
842,4,1,215
843,3,1,215
844,2,1,216
845,3,1,216
846,2,0,216
846,2,1,216
847,4,0,216
847,4,1,216
848,1,0,217
848,1,1,217
849,2,1,217
850,2,0,217
850,2,1,217
851,4,1,217
852,0,1,217
853,2,1,218
854,3,1,218
855,4,0,218
855,4,1,218
856,2,0,219
856,2,1,219
857,0,0,219
857,0,1,219
858,1,0,220
858,1,1,220
859,2,1,220
860,3,1,220
861,2,0,220
861,2,1,220
862,0,1,220
863,0,0,220
863,0,1,220
864,0,1,221
865,2,1,221
866,3,1,221
867,4,1,221
868,0,0,221
868,0,1,221
869,2,0,221
869,2,1,221
870,2,1,222
871,3,1,222
872,2,0,222
872,2,1,222
873,4,1,222
874,0,0,222
874,0,1,222
875,2,1,223
876,3,1,223
877,2,0,223
877,2,1,223
878,4,1,223
879,4,0,223
879,4,1,223
880,0,1,223
881,0,1,224
882,2,1,224
883,2,0,224
883,2,1,224
884,0,0,224
884,0,1,224
885,4,0,224
885,4,1,224
886,1,0,225
886,1,1,225
887,0,1,225
888,0,0,225
888,0,1,225
889,2,0,225
889,2,1,225
890,4,0,225
890,4,1,225
891,1,1,226
892,2,1,226
893,1,0,226
893,1,1,226
894,3,1,226
895,2,0,226
895,2,1,226
896,4,1,226
897,1,1,227
898,2,1,227
899,0,0,227
899,0,1,227
900,1,0,227
900,1,1,227
901,3,1,227
902,1,1,228
903,2,1,228
904,3,1,228
905,1,0,228
905,1,1,228
906,0,1,228
907,0,0,228
907,0,1,228
908,1,1,229
909,0,1,229
910,3,1,229
911,1,0,229
911,1,1,229
912,0,0,229
912,0,1,229
913,1,1,230
914,4,0,231
914,4,1,231
915,0,0,231
915,0,1,231
916,1,1,231
917,3,1,231
918,2,0,232
918,2,1,232
919,3,1,232
920,4,0,232
920,4,1,232
921,0,1,232
922,0,0,233
922,0,1,233
923,3,1,233
924,4,0,233
924,4,1,233
925,2,0,234
925,2,1,234
926,3,1,234
927,4,1,234
928,4,0,234
928,4,1,234
929,1,0,235
929,1,1,235
930,2,1,235
931,0,0,235
931,0,1,235
932,2,0,235
932,2,1,235
933,1,0,236
933,1,1,236
934,2,0,236
934,2,1,236
935,0,0,236
935,0,1,236
936,3,1,236
937,1,0,237
937,1,1,237
938,2,0,237
938,2,1,237
939,3,1,237
940,0,1,237
941,0,0,237
941,0,1,237
942,1,0,238
942,1,1,238
943,2,1,238
944,0,0,238
944,0,1,238
945,3,1,238
946,1,1,239
947,1,0,239
947,1,1,239
948,4,0,239
948,4,1,239
949,0,1,239
950,3,1,239
951,1,1,240
952,4,0,240
952,4,1,240
953,0,0,240
953,0,1,240
954,2,0,241
954,2,1,241
955,3,1,241
956,4,0,241
956,4,1,241
957,1,1,242
958,4,0,242
958,4,1,242
959,2,0,243
959,2,1,243
960,1,1,243
961,4,0,243
961,4,1,243
962,0,0,244
962,0,1,244
963,2,0,245
963,2,1,245
964,0,0,245
964,0,1,245
965,1,1,245
966,3,1,245
967,2,0,246
967,2,1,246
968,0,0,246
968,0,1,246
969,2,0,247
969,2,1,247
970,0,0,247
970,0,1,247
971,1,0,249
971,1,1,249
972,2,1,249
973,0,0,249
973,0,1,249
974,4,1,249
975,2,0,249
975,2,1,249
976,1,0,250
976,1,1,250
977,0,0,250
977,0,1,250
978,4,0,250
978,4,1,250
979,3,1,250
980,1,1,251
981,1,0,251
981,1,1,251
982,4,0,251
982,4,1,251
983,0,1,251
984,3,1,252
985,0,0,253
985,0,1,253
986,4,0,253
986,4,1,253
987,1,0,254
987,1,1,254
988,4,0,254
988,4,1,254
989,0,1,254
990,1,0,255
990,1,1,255
991,0,1,255
992,2,1,255
993,2,0,255
993,2,1,255
994,4,1,255
995,4,0,255
995,4,1,255
996,2,0,256
996,2,1,256
997,3,1,256
998,1,0,257
998,1,1,257
999,2,0,257
999,2,1,257
1000,1,0,258
1000,1,1,258
1001,0,0,258
1001,0,1,258
1002,2,0,258
1002,2,1,258
1003,4,0,258
1003,4,1,258
1004,3,1,258
1005,1,1,259
1006,1,0,259
1006,1,1,259
1007,2,1,259
1008,0,0,259
1008,0,1,259
1009,2,0,259
1009,2,1,259
1010,3,1,259
1011,4,1,259
1012,1,1,260
1013,1,0,260
1013,1,1,260
1014,0,1,260
1015,2,0,260
1015,2,1,260
1016,4,1,260
1017,0,0,260
1017,0,1,260
1018,1,1,261
1019,3,1,261
1020,1,0,261
1020,1,1,261
1021,1,0,262
1021,1,1,262
1022,2,1,262
1023,3,1,262
1024,2,0,262
1024,2,1,262
1025,4,1,262
1026,0,0,262
1026,0,1,262
1027,1,0,263
1027,1,1,263
1028,0,1,263
1029,4,0,263
1029,4,1,263
1030,2,1,263
1031,2,1,264
1032,3,1,264
1033,4,1,264
1034,2,0,264
1034,2,1,264
1035,4,0,264
1035,4,1,264
1036,0,1,264
1037,1,0,265
1037,1,1,265
1038,0,0,265
1038,0,1,265
1039,4,0,265
1039,4,1,265
1040,3,1,265
1041,1,0,266
1041,1,1,266
1042,0,1,266
1043,2,0,266
1043,2,1,266
1044,0,0,266
1044,0,1,266
1045,3,1,266
1046,4,0,267
1046,4,1,267
1047,3,1,267
1048,0,1,267
1049,1,1,268
1050,2,1,268
1051,0,0,268
1051,0,1,268
1052,4,1,268
1053,2,1,269
1054,0,1,269
1055,3,1,269
1056,4,1,269
1057,1,1,270
1058,2,1,270
1059,3,1,270
1060,1,0,270
1060,1,1,270
1061,4,1,270
1062,2,0,270
1062,2,1,270
1063,4,0,270
1063,4,1,270
1064,1,1,271
1065,2,1,271
1066,1,0,271
1066,1,1,271
1067,2,0,271
1067,2,1,271
1068,0,1,271
1069,0,0,271
1069,0,1,271
1070,1,0,272
1070,1,1,272
1071,2,1,272
1072,0,0,272
1072,0,1,272
1073,3,1,272
1074,2,0,272
1074,2,1,272
1075,4,0,272
1075,4,1,272
1076,1,1,273
1077,2,1,273
1078,3,1,273
1079,4,1,273
1080,1,0,273
1080,1,1,273
1081,4,0,273
1081,4,1,273
1082,0,1,273
1083,0,0,273
1083,0,1,273
1084,1,0,274
1084,1,1,274
1085,2,1,274
1086,2,0,274
1086,2,1,274
1087,3,1,274
1088,0,0,274
1088,0,1,274
1089,4,0,274
1089,4,1,274
1090,1,1,275
1091,1,0,275
1091,1,1,275
1092,2,1,275
1093,3,1,275
1094,4,1,275
1095,2,0,275
1095,2,1,275
1096,4,0,275
1096,4,1,275
1097,1,1,276
1098,2,1,276
1099,1,0,276
1099,1,1,276
1100,2,0,277
1100,2,1,277
1101,1,1,277
1102,3,1,277
1103,4,1,277
1104,2,1,278
1105,3,1,278
1106,4,1,278
1107,1,1,279
1108,4,1,279
1109,1,0,279
1109,1,1,279
1110,2,1,280
1111,1,1,281
1112,1,0,281
1112,1,1,281
1113,2,0,281
1113,2,1,281
1114,0,1,281
1115,4,1,281
1116,0,0,281
1116,0,1,281
1117,1,0,282
1117,1,1,282
1118,0,0,282
1118,0,1,282
1119,4,0,282
1119,4,1,282
1120,1,0,283
1120,1,1,283
1121,0,0,283
1121,0,1,283
1122,4,0,283
1122,4,1,283
1123,3,1,283
1124,2,1,284
1125,2,0,284
1125,2,1,284
1126,3,1,284
1127,0,1,284
1128,1,1,285
1129,2,1,285
1130,3,1,285
1131,4,1,285
1132,2,1,286
1133,2,0,286
1133,2,1,286
1134,4,0,286
1134,4,1,286
1135,0,0,287
1135,0,1,287
1136,3,1,287
1137,4,1,287
1138,0,1,288
1139,0,0,288
1139,0,1,288
1140,2,0,288
1140,2,1,288
1141,1,1,288
1142,4,0,288
1142,4,1,288
1143,3,1,288
1144,1,0,289
1144,1,1,289
1145,1,0,290
1145,1,1,290
1146,2,1,290
1147,2,0,290
1147,2,1,290
1148,0,1,290
1149,4,0,290
1149,4,1,290
1150,3,1,290
